generation,best_cost
1,642.0
2,616.0
3,616.0
4,616.0
5,616.0
6,616.0
7,616.0
8,616.0
9,616.0
10,616.0
11,616.0
12,616.0
13,608.0
14,584.0
15,584.0
16,584.0
17,584.0
18,559.0
19,559.0
20,559.0
21,559.0
22,559.0
23,559.0
24,559.0
25,559.0
26,559.0
27,559.0
28,559.0
29,559.0
30,559.0
31,559.0
32,559.0
33,559.0
34,559.0
35,559.0
36,559.0
37,559.0
38,559.0
39,559.0
40,559.0
41,559.0
42,559.0
43,559.0
44,559.0
45,559.0
46,559.0
47,559.0
48,559.0
49,559.0
50,559.0
51,559.0
52,559.0
53,559.0
54,559.0
55,559.0
56,559.0
57,559.0
58,559.0
59,559.0
60,559.0
61,559.0
62,559.0
63,559.0
64,559.0
65,559.0
66,559.0
67,559.0
68,559.0
69,559.0
70,559.0
71,559.0
72,559.0
73,559.0
74,559.0
75,559.0
76,559.0
77,559.0
78,559.0
79,559.0
80,559.0
81,559.0
82,559.0
83,559.0
84,559.0
85,559.0
86,559.0
87,559.0
88,559.0
89,559.0
90,559.0
91,559.0
92,559.0
93,559.0
94,559.0
95,559.0
96,559.0
97,559.0
98,559.0
99,559.0
100,559.0
101,559.0
102,559.0
103,559.0
104,559.0
105,559.0
106,559.0
107,559.0
108,559.0
109,559.0
110,559.0
111,559.0
112,559.0
113,559.0
114,559.0
115,559.0
116,559.0
117,559.0
118,559.0
119,559.0
120,559.0
121,559.0
122,559.0
123,559.0
124,559.0
125,559.0
126,559.0
127,559.0
128,559.0
129,559.0
130,559.0
131,559.0
132,559.0
133,559.0
134,559.0
135,559.0
136,559.0
137,559.0
138,559.0
139,559.0
140,559.0
141,559.0
142,559.0
143,559.0
144,559.0
145,559.0
146,559.0
147,559.0
148,559.0
149,559.0
150,559.0
151,559.0
152,559.0
153,559.0
154,559.0
155,559.0
156,559.0
157,559.0
158,559.0
159,559.0
160,559.0
161,559.0
162,559.0
163,559.0
164,559.0
165,559.0
166,559.0
167,559.0
168,559.0
169,559.0
170,559.0
171,559.0
172,559.0
173,559.0
174,559.0
175,559.0
176,559.0
177,559.0
178,559.0
179,559.0
180,559.0
181,559.0
182,559.0
183,559.0
184,559.0
185,559.0
186,559.0
187,559.0
188,559.0
189,559.0
190,559.0
191,559.0
192,559.0
193,559.0
194,559.0
195,559.0
196,559.0
197,559.0
198,559.0
199,559.0
200,559.0
201,559.0
202,559.0
203,559.0
204,559.0
205,559.0
206,559.0
207,559.0
208,559.0
209,559.0
210,559.0
211,559.0
212,559.0
213,559.0
214,559.0
215,559.0
216,559.0
217,559.0
218,559.0
219,559.0
220,559.0
221,559.0
222,559.0
223,559.0
224,559.0
225,559.0
226,559.0
227,559.0
228,559.0
229,559.0
230,559.0
231,559.0
232,559.0
233,559.0
234,559.0
235,559.0
236,559.0
237,559.0
238,559.0
239,559.0
240,559.0
241,559.0
242,559.0
243,559.0
244,559.0
245,559.0
246,559.0
247,559.0
248,559.0
249,559.0
250,559.0
251,559.0
252,559.0
253,559.0
254,559.0
255,559.0
256,559.0
257,559.0
258,559.0
259,559.0
260,559.0
261,559.0
262,559.0
263,559.0
264,559.0
265,559.0
266,559.0
267,559.0
268,559.0
269,559.0
270,559.0
271,559.0
272,559.0
273,559.0
274,559.0
275,559.0
276,559.0
277,559.0
278,559.0
279,559.0
280,559.0
281,559.0
282,559.0
283,559.0
284,559.0
285,559.0
286,559.0
287,559.0
288,559.0
289,559.0
290,559.0
291,559.0
292,559.0
293,559.0
294,559.0
295,559.0
296,559.0
297,559.0
298,559.0
299,559.0
300,559.0
301,559.0
302,559.0
303,559.0
304,559.0
305,559.0
306,559.0
307,559.0
308,559.0
309,559.0
310,559.0
311,559.0
312,559.0
313,559.0
314,559.0
315,559.0
316,559.0
317,559.0
318,559.0
319,559.0
320,559.0
321,559.0
322,559.0
323,559.0
324,559.0
325,559.0
326,559.0
327,559.0
328,559.0
329,559.0
330,559.0
331,559.0
332,559.0
333,559.0
334,559.0
335,559.0
336,559.0
337,559.0
338,559.0
339,559.0
340,559.0
341,559.0
342,559.0
343,559.0
344,559.0
345,559.0
346,559.0
347,559.0
348,559.0
349,559.0
350,559.0
351,559.0
352,559.0
353,559.0
354,559.0
355,559.0
356,559.0
357,559.0
358,559.0
359,559.0
360,559.0
361,559.0
362,559.0
363,559.0
364,559.0
365,559.0
366,559.0
367,559.0
368,559.0
369,559.0
370,559.0
371,559.0
372,559.0
373,559.0
374,559.0
375,559.0
376,559.0
377,559.0
378,559.0
379,559.0
380,559.0
381,559.0
382,559.0
383,559.0
384,559.0
385,559.0
386,559.0
387,559.0
388,559.0
389,559.0
390,559.0
391,559.0
392,559.0
393,559.0
394,559.0
395,559.0
396,559.0
397,559.0
398,559.0
399,559.0
400,559.0
