generation,best_cost
1,704.0
2,704.0
3,704.0
4,704.0
5,704.0
6,698.0
7,690.0
8,660.0
9,660.0
10,660.0
11,660.0
12,660.0
13,660.0
14,660.0
15,660.0
16,660.0
17,649.0
18,649.0
19,649.0
20,649.0
21,649.0
22,649.0
23,632.0
24,632.0
25,632.0
26,632.0
27,632.0
28,632.0
29,632.0
30,632.0
31,632.0
32,629.0
33,629.0
34,629.0
35,629.0
36,629.0
37,629.0
38,629.0
39,629.0
40,629.0
41,629.0
42,629.0
43,629.0
44,629.0
45,629.0
46,629.0
47,629.0
48,629.0
49,629.0
50,629.0
51,629.0
52,629.0
53,629.0
54,629.0
55,629.0
56,629.0
57,629.0
58,629.0
59,629.0
60,629.0
61,629.0
62,629.0
63,629.0
64,629.0
65,629.0
66,629.0
67,629.0
68,629.0
69,629.0
70,629.0
71,629.0
72,629.0
73,629.0
74,629.0
75,629.0
76,629.0
77,629.0
78,629.0
79,629.0
80,629.0
81,629.0
82,629.0
83,629.0
84,629.0
85,629.0
86,629.0
87,629.0
88,629.0
89,629.0
90,629.0
91,629.0
92,629.0
93,629.0
94,629.0
95,629.0
96,629.0
97,629.0
98,629.0
99,629.0
100,629.0
101,629.0
102,629.0
103,629.0
104,629.0
105,629.0
106,629.0
107,629.0
108,629.0
109,629.0
110,629.0
111,629.0
112,629.0
113,629.0
114,629.0
115,629.0
116,629.0
117,629.0
118,629.0
119,629.0
120,629.0
121,629.0
122,629.0
123,629.0
124,629.0
125,629.0
126,629.0
127,629.0
128,629.0
129,629.0
130,629.0
131,629.0
132,629.0
133,629.0
134,629.0
135,629.0
136,629.0
137,629.0
138,629.0
139,629.0
140,629.0
141,629.0
142,629.0
143,629.0
144,629.0
145,629.0
146,629.0
147,629.0
148,629.0
149,629.0
150,629.0
151,629.0
152,629.0
153,629.0
154,629.0
155,629.0
156,629.0
157,629.0
158,629.0
159,629.0
160,629.0
161,629.0
162,629.0
163,629.0
164,629.0
165,629.0
166,629.0
167,629.0
168,629.0
169,629.0
170,629.0
171,629.0
172,629.0
173,629.0
174,629.0
175,629.0
176,629.0
177,629.0
178,629.0
179,629.0
180,629.0
181,629.0
182,629.0
183,629.0
184,629.0
185,629.0
186,629.0
187,629.0
188,629.0
189,629.0
190,629.0
191,629.0
192,629.0
193,629.0
194,629.0
195,629.0
196,629.0
197,629.0
198,629.0
199,629.0
200,629.0
201,629.0
202,629.0
203,629.0
204,629.0
205,629.0
206,629.0
207,629.0
208,629.0
209,629.0
210,629.0
211,629.0
212,629.0
213,629.0
214,629.0
215,629.0
216,629.0
217,629.0
218,629.0
219,629.0
220,629.0
221,629.0
222,629.0
223,629.0
224,629.0
225,629.0
226,629.0
227,629.0
228,629.0
229,629.0
230,629.0
231,629.0
232,629.0
233,629.0
234,629.0
235,629.0
236,629.0
237,629.0
238,629.0
239,629.0
240,629.0
241,629.0
242,629.0
243,629.0
244,629.0
245,629.0
246,629.0
247,629.0
248,629.0
249,629.0
250,629.0
251,629.0
252,629.0
253,629.0
254,629.0
255,629.0
256,629.0
257,629.0
258,629.0
259,629.0
260,629.0
261,629.0
262,629.0
263,629.0
264,629.0
265,629.0
266,629.0
267,629.0
268,629.0
269,629.0
270,629.0
271,629.0
272,629.0
273,629.0
274,629.0
275,629.0
276,629.0
277,629.0
278,629.0
279,629.0
280,629.0
281,629.0
282,629.0
283,629.0
284,629.0
285,629.0
286,629.0
287,629.0
288,629.0
289,629.0
290,629.0
291,629.0
292,629.0
293,629.0
294,629.0
295,629.0
296,629.0
297,629.0
298,629.0
299,629.0
300,629.0
301,629.0
302,629.0
303,629.0
304,629.0
305,629.0
306,629.0
307,629.0
308,629.0
309,629.0
310,629.0
311,629.0
312,629.0
313,629.0
314,629.0
315,629.0
316,629.0
317,629.0
318,629.0
319,629.0
320,629.0
321,629.0
322,629.0
323,629.0
324,629.0
325,629.0
326,629.0
327,629.0
328,629.0
329,629.0
330,629.0
331,629.0
332,629.0
333,629.0
334,629.0
335,629.0
336,629.0
337,629.0
338,629.0
339,629.0
340,629.0
341,629.0
342,629.0
343,629.0
344,629.0
345,629.0
346,629.0
347,629.0
348,629.0
349,629.0
350,629.0
351,629.0
352,629.0
353,629.0
354,629.0
355,629.0
356,629.0
357,629.0
358,629.0
359,629.0
360,629.0
361,629.0
362,629.0
363,629.0
364,629.0
365,629.0
366,629.0
367,629.0
368,629.0
369,629.0
370,629.0
371,629.0
372,629.0
373,629.0
374,629.0
375,629.0
376,629.0
377,629.0
378,629.0
379,629.0
380,629.0
381,629.0
382,629.0
383,629.0
384,629.0
385,629.0
386,629.0
387,629.0
388,629.0
389,629.0
390,629.0
391,629.0
392,629.0
393,629.0
394,629.0
395,629.0
396,629.0
397,629.0
398,629.0
399,629.0
400,629.0
