run,best_cost,avg_cost,std_dev,avg_exc,time
1,377.0,377.0,0.0,0.5333333333333333,357.6882166862488
2,377.0,377.0,0.0,0.5333333333333333,424.2989356517792
3,377.0,377.0,0.0,0.5333333333333333,505.34217643737793
4,377.0,377.0,0.0,0.5333333333333333,361.3432550430298
5,377.0,377.0,0.0,0.5333333333333333,517.8867638111115
6,377.0,377.0,0.0,0.5333333333333333,414.1633253097534
7,377.0,377.0,0.0,0.5333333333333333,505.75019931793213
8,377.0,377.0,0.0,0.5333333333333333,387.5506782531738
9,377.0,377.0,0.0,0.5333333333333333,520.5533878803253
10,377.0,377.0,0.0,0.5333333333333333,521.5968391895294
11,377.0,377.0,0.0,0.5333333333333333,360.98488688468933
12,377.0,377.0,0.0,0.5333333333333333,385.38409328460693
13,377.0,377.0,0.0,0.5333333333333333,501.4387626647949
14,377.0,377.0,0.0,0.5333333333333333,507.1620922088623
15,377.0,377.0,0.0,0.5333333333333333,473.5912115573883
16,377.0,377.0,0.0,0.5333333333333333,366.35646057128906
17,377.0,377.0,0.0,0.5333333333333333,366.933310508728
18,377.0,377.0,0.0,0.5333333333333333,370.6466374397278
19,377.0,377.0,0.0,0.5333333333333333,511.7411787509918
20,377.0,377.0,0.0,0.5333333333333333,362.7753870487213
21,377.0,377.0,0.0,0.5333333333333333,538.6251366138458
22,377.0,377.0,0.0,0.5333333333333333,504.597514629364
23,377.0,377.0,0.0,0.5333333333333333,472.63137316703796
24,377.0,377.0,0.0,0.5333333333333333,354.3075408935547
25,377.0,377.0,0.0,0.5333333333333333,231.6345670223236
26,377.0,377.0,0.0,0.5333333333333333,248.88502836227417
27,377.0,377.0,0.0,0.5333333333333333,237.59520959854126
28,377.0,377.0,0.0,0.5333333333333333,247.5776445865631
29,377.0,377.0,0.0,0.5333333333333333,242.08172512054443
30,377.0,377.0,0.0,0.5333333333333333,245.5977075099945
