instance,operator,mut,best,avg,std,avg_exc,time
E-n22-k4,AEX,mut,377.0,416.3333333333333,15.503253422390026,11.022222222222222,857.4990151723226
E-n22-k4,AEX,nomut,377.0,388.8553333333333,2.3044198015915547,3.6947555555555556,464.73083980083464
E-n22-k4,BRKGA,mut,419.0,466.824,15.024770245449279,24.4864,16.69074943065643
E-n22-k4,BRKGA,nomut,455.0,512.3,0.0,36.61333333333334,10.999664537111919
E-n22-k4,CX,mut,377.0,421.24133333333333,15.34918519645712,12.331022222222222,798.1292690992356
E-n22-k4,CX,nomut,377.0,377.0,0.0,0.5333333333333333,401.5573748668035
E-n22-k4,LNN,mut,377.0,422.82533333333333,15.766142683423194,12.753422222222222,1188.3710183382034
E-n22-k4,LNN,nomut,377.0,421.78133333333335,15.349956388935976,12.475022222222224,1270.0860477447509
E-n22-k4,OX,mut,377.0,418.5253333333333,16.09952207028352,11.606755555555557,921.670106124878
E-n22-k4,OX,nomut,377.0,418.86266666666666,16.726385056010535,11.696711111111112,829.77209379673
E-n22-k4,RK-2PX,mut,410.0,468.6426666666667,12.460025097406964,24.97137777777778,15.554294427235922
E-n22-k4,RK-2PX,nomut,459.0,526.1333333333333,0.0,40.30222222222222,12.251303227742513
