generation,best_cost
1,666.0
2,656.0
3,656.0
4,656.0
5,656.0
6,656.0
7,656.0
8,636.0
9,636.0
10,636.0
11,605.0
12,605.0
13,605.0
14,605.0
15,605.0
16,605.0
17,605.0
18,585.0
19,571.0
20,571.0
21,571.0
22,571.0
23,571.0
24,571.0
25,571.0
26,571.0
27,571.0
28,571.0
29,571.0
30,571.0
31,571.0
32,571.0
33,571.0
34,571.0
35,571.0
36,571.0
37,571.0
38,571.0
39,571.0
40,571.0
41,571.0
42,571.0
43,571.0
44,571.0
45,571.0
46,571.0
47,571.0
48,571.0
49,571.0
50,571.0
51,571.0
52,571.0
53,571.0
54,571.0
55,571.0
56,571.0
57,571.0
58,571.0
59,571.0
60,571.0
61,571.0
62,571.0
63,571.0
64,571.0
65,571.0
66,571.0
67,571.0
68,571.0
69,571.0
70,571.0
71,571.0
72,571.0
73,571.0
74,571.0
75,571.0
76,571.0
77,571.0
78,571.0
79,571.0
80,571.0
81,571.0
82,571.0
83,571.0
84,571.0
85,571.0
86,571.0
87,571.0
88,571.0
89,571.0
90,571.0
91,571.0
92,571.0
93,571.0
94,571.0
95,571.0
96,571.0
97,571.0
98,571.0
99,571.0
100,571.0
101,571.0
102,571.0
103,571.0
104,571.0
105,571.0
106,571.0
107,571.0
108,571.0
109,571.0
110,571.0
111,571.0
112,571.0
113,571.0
114,571.0
115,571.0
116,571.0
117,571.0
118,571.0
119,571.0
120,571.0
121,571.0
122,571.0
123,571.0
124,571.0
125,571.0
126,571.0
127,571.0
128,571.0
129,571.0
130,571.0
131,571.0
132,571.0
133,571.0
134,571.0
135,571.0
136,571.0
137,571.0
138,571.0
139,571.0
140,571.0
141,571.0
142,571.0
143,571.0
144,571.0
145,571.0
146,571.0
147,571.0
148,571.0
149,571.0
150,571.0
151,571.0
152,571.0
153,571.0
154,571.0
155,571.0
156,571.0
157,571.0
158,571.0
159,571.0
160,571.0
161,571.0
162,571.0
163,571.0
164,571.0
165,571.0
166,571.0
167,571.0
168,571.0
169,571.0
170,571.0
171,571.0
172,571.0
173,571.0
174,571.0
175,571.0
176,571.0
177,571.0
178,571.0
179,571.0
180,571.0
181,571.0
182,571.0
183,571.0
184,571.0
185,571.0
186,571.0
187,571.0
188,571.0
189,571.0
190,571.0
191,571.0
192,571.0
193,571.0
194,571.0
195,571.0
196,571.0
197,571.0
198,571.0
199,571.0
200,571.0
201,571.0
202,571.0
203,571.0
204,571.0
205,571.0
206,571.0
207,571.0
208,571.0
209,571.0
210,571.0
211,571.0
212,571.0
213,571.0
214,571.0
215,571.0
216,571.0
217,571.0
218,571.0
219,571.0
220,571.0
221,571.0
222,571.0
223,571.0
224,571.0
225,571.0
226,571.0
227,571.0
228,571.0
229,571.0
230,571.0
231,571.0
232,571.0
233,571.0
234,571.0
235,571.0
236,571.0
237,571.0
238,571.0
239,571.0
240,571.0
241,571.0
242,571.0
243,571.0
244,571.0
245,571.0
246,571.0
247,571.0
248,571.0
249,571.0
250,571.0
251,571.0
252,571.0
253,571.0
254,571.0
255,571.0
256,571.0
257,571.0
258,571.0
259,571.0
260,571.0
261,571.0
262,571.0
263,571.0
264,571.0
265,571.0
266,571.0
267,571.0
268,571.0
269,571.0
270,571.0
271,571.0
272,571.0
273,571.0
274,571.0
275,571.0
276,571.0
277,571.0
278,571.0
279,571.0
280,571.0
281,571.0
282,571.0
283,571.0
284,571.0
285,571.0
286,571.0
287,571.0
288,571.0
289,571.0
290,571.0
291,571.0
292,571.0
293,571.0
294,571.0
295,571.0
296,571.0
297,571.0
298,571.0
299,571.0
300,571.0
301,571.0
302,571.0
303,571.0
304,571.0
305,571.0
306,571.0
307,571.0
308,571.0
309,571.0
310,571.0
311,571.0
312,571.0
313,571.0
314,571.0
315,571.0
316,571.0
317,571.0
318,571.0
319,571.0
320,571.0
321,571.0
322,571.0
323,571.0
324,571.0
325,571.0
326,571.0
327,571.0
328,571.0
329,571.0
330,571.0
331,571.0
332,571.0
333,571.0
334,571.0
335,571.0
336,571.0
337,571.0
338,571.0
339,571.0
340,571.0
341,571.0
342,571.0
343,571.0
344,571.0
345,571.0
346,571.0
347,571.0
348,571.0
349,571.0
350,571.0
351,571.0
352,571.0
353,571.0
354,571.0
355,571.0
356,571.0
357,571.0
358,571.0
359,571.0
360,571.0
361,571.0
362,571.0
363,571.0
364,571.0
365,571.0
366,571.0
367,571.0
368,571.0
369,571.0
370,571.0
371,571.0
372,571.0
373,571.0
374,571.0
375,571.0
376,571.0
377,571.0
378,571.0
379,571.0
380,571.0
381,571.0
382,571.0
383,571.0
384,571.0
385,571.0
386,571.0
387,571.0
388,571.0
389,571.0
390,571.0
391,571.0
392,571.0
393,571.0
394,571.0
395,571.0
396,571.0
397,571.0
398,571.0
399,571.0
400,571.0
