run,best_cost,avg_cost,std_dev,avg_exc,time
1,1217.0,1217.0,0.0,133.58925143953934,4.883142948150635
2,1215.0,1215.0,0.0,133.2053742802303,4.890259027481079
3,1269.0,1269.0,0.0,143.5700575815739,5.212285280227661
4,1298.0,1298.0,0.0,149.1362763915547,4.697900772094727
5,1204.0,1204.0,0.0,131.0940499040307,5.16745138168335
6,1291.0,1291.0,0.0,147.79270633397311,4.871677398681641
7,1197.0,1197.0,0.0,129.75047984644914,4.863459348678589
8,1218.0,1218.0,0.0,133.78119001919387,4.79609751701355
9,1297.0,1297.0,0.0,148.9443378119002,4.744950771331787
10,1170.0,1170.0,0.0,124.56813819577735,5.536771535873413
11,1172.0,1172.0,0.0,124.95201535508637,4.758733749389648
12,1155.0,1155.0,0.0,121.6890595009597,4.7826526165008545
13,1180.0,1180.0,0.0,126.48752399232247,4.8634724617004395
14,1286.0,1286.0,0.0,146.83301343570056,4.89545202255249
15,1286.0,1286.0,0.0,146.83301343570056,4.818850040435791
