run,best_cost,avg_cost,std_dev,avg_exc,time
1,882.0,941.7083333333334,21.052472472900238,13.458835341365466,5517.137318611145
2,884.0,944.75,19.7721394896961,13.825301204819276,5419.325203895569
3,884.0,940.125,17.74427724648147,13.268072289156626,5491.057864189148
4,881.0,943.0,18.373440976946405,13.614457831325302,5541.287447929382
5,893.0,944.0833333333334,19.366888983233444,13.744979919678718,5545.918787956238
6,883.0,935.3333333333334,23.181649831038534,12.690763052208839,5502.68141078949
7,881.0,935.0416666666666,17.4104354882033,12.655622489959834,5550.783613681793
8,882.0,944.875,18.8133651517567,13.840361445783135,5538.279952287674
9,880.0,938.7083333333334,15.648426882242473,13.097389558232935,5442.090355634689
10,887.0,940.5833333333334,14.468116286818022,13.323293172690768,5533.0175404548645
11,890.0,939.0833333333334,16.525023113112095,13.142570281124502,5488.64612698555
12,886.0,941.875,19.481428121846374,13.478915662650603,5619.582172632217
13,876.0,945.0416666666666,19.505296645327448,13.860441767068268,5526.5406374931335
14,885.0,942.5416666666666,19.689208479661023,13.55923694779116,5585.1721971035
15,883.0,942.8333333333334,21.45084820907763,13.594377510040164,5515.9961524009705
