run,best_cost,avg_cost,std_dev,avg_exc,time
1,1160.0,1218.8333333333333,19.984716382498124,14.229928147453913,12548.265570163727
2,1158.0,1215.875,19.026981937939254,13.952671040299904,12316.87498831749
3,1164.0,1214.3333333333333,17.492061691585192,13.808184942205553,12066.34155678749
4,1154.0,1223.1666666666667,19.04307981627155,14.636051233989386,12403.962319612503
5,1159.0,1221.7916666666667,31.087214905094918,14.507185254607943,12204.235432863235
6,1167.0,1230.4583333333333,19.302372839167266,15.319431427678843,12284.999154806137
7,1160.0,1219.625,17.199351974226627,14.304123711340205,12120.014478206635
8,1152.0,1225.2916666666667,20.787574747644058,14.835207747578888,12298.438166856766
9,1159.0,1225.125,16.904911761575885,14.81958762886598,12343.849486351013
10,1142.0,1219.75,24.609026121865664,14.315838800374884,12077.642793416977
11,1156.0,1224.8333333333333,21.628813087073354,14.792252421118393,12349.488480091095
12,1149.0,1222.2916666666667,21.164985169430718,14.55404561074665,12311.218482017517
13,1162.0,1231.6666666666667,22.540087745072235,15.4326772883474,12312.784491062164
14,1156.0,1216.875,21.926605794483255,14.04639175257732,12437.44878578186
15,1152.0,1220.0416666666667,18.130267433830706,14.34317400812247,12329.846249341965
