run,best_cost,avg_cost,std_dev,avg_exc,time
1,1689.0,1697.875,6.546707187586749,104.56325301204818,5.855422735214233
2,1558.0,1577.7916666666667,14.699714188453537,90.09538152610442,5.833927154541016
3,1663.0,1683.5,15.655137601865189,102.83132530120483,5.905812740325928
4,1579.0,1625.4583333333333,24.75543571061156,95.8383534136546,5.744205474853516
5,1624.0,1631.8333333333333,8.203996316159312,96.60642570281124,5.824548244476318
6,1581.0,1615.3333333333333,22.919545273751737,94.61847389558233,5.815909147262573
7,1633.0,1653.7916666666667,20.416454080525888,99.25200803212853,5.844486951828003
8,1632.0,1678.125,31.103741066523387,102.18373493975903,5.821240425109863
9,1595.0,1596.5,2.7838821814150108,92.34939759036145,5.835887432098389
10,1646.0,1676.1666666666667,16.48652648545337,101.94779116465864,5.826289415359497
11,1623.0,1652.0833333333333,17.96273147998996,99.04618473895582,5.827882289886475
12,1553.0,1560.7916666666667,2.75347003292613,88.04718875502009,5.767699718475342
13,1673.0,1701.0416666666667,14.822503068720284,104.94477911646587,5.885558605194092
14,1666.0,1692.6666666666667,24.371545339231613,103.93574297188756,5.921867609024048
15,1638.0,1649.9166666666667,4.599969806664194,98.78514056224901,5.951871395111084
