run,best_cost,avg_cost,std_dev,avg_exc,time
1,377.0,413.7916666666667,19.40785744371479,10.344444444444449,106.85117411613464
2,377.0,417.0833333333333,17.119473966477152,11.222222222222216,106.69895386695862
3,377.0,416.125,13.629968513047514,10.966666666666667,106.43134570121765
4,377.0,412.5833333333333,18.366447367111824,10.022222222222217,105.7119631767273
5,377.0,418.125,15.003645390370968,11.5,106.82319116592407
6,377.0,419.3333333333333,13.98411797560202,11.822222222222218,107.4804470539093
7,377.0,420.6666666666667,17.220788470785987,12.177777777777782,104.36466813087463
8,377.0,417.375,15.633331112295506,11.3,105.78927159309387
9,377.0,412.8333333333333,17.394124167533,10.088888888888883,107.2695004940033
10,377.0,411.5833333333333,19.416309009581497,9.755555555555551,104.287517786026
11,377.0,422.5833333333333,19.47630326547851,12.688888888888883,106.31813740730286
12,377.0,417.75,19.3654546379199,11.4,106.08401083946228
13,377.0,423.125,16.414710120295556,12.833333333333332,106.09899759292603
14,377.0,419.5416666666667,15.734725838800696,11.877777777777784,106.88749885559082
15,377.0,416.0833333333333,13.465748731091372,10.95555555555555,107.45058608055115
