run,best_cost,avg_cost,std_dev,avg_exc,time
1,539.0,539.0,0.0,43.733333333333334,1.3313050270080566
2,578.0,578.0,0.0,54.13333333333333,1.2450828552246094
3,501.0,501.0,0.0,33.6,1.2206692695617676
4,578.0,578.0,0.0,54.13333333333333,1.130638837814331
5,636.0,636.0,0.0,69.6,1.2326717376708984
6,513.0,513.0,0.0,36.8,1.2303450107574463
7,567.0,567.0,0.0,51.2,1.3017425537109375
8,632.0,632.0,0.0,68.53333333333333,1.2668125629425049
9,590.0,590.0,0.0,57.333333333333336,1.2362208366394043
10,557.0,557.0,0.0,48.53333333333333,1.255004644393921
11,527.0,527.0,0.0,40.53333333333333,1.215841293334961
12,531.0,531.0,0.0,41.6,1.2198293209075928
13,545.0,545.0,0.0,45.33333333333333,1.222271203994751
14,563.0,563.0,0.0,50.13333333333333,1.2813849449157715
15,519.0,519.0,0.0,38.4,1.2355124950408936
