run,best_cost,avg_cost,std_dev,avg_exc,time
1,1141.0,1229.0416666666667,26.418868204792993,15.186660418619189,11716.456353187561
2,1152.0,1220.875,24.62605750690381,14.421274601686973,11876.894310235977
3,1131.0,1209.0,29.991665508937647,13.30834114339269,11760.574132442474
4,1135.0,1215.625,27.981857961900957,13.929240862230552,11742.969912052155
5,1146.0,1208.0416666666667,23.297852488063263,13.21852546079351,11893.698122501373
6,1150.0,1228.6666666666667,20.643131760682266,15.151515151515158,11897.881188869476
7,1152.0,1217.7083333333333,24.62633950107531,14.124492346141823,11813.864268064499
8,1143.0,1214.6666666666667,21.868292622475632,13.839425179631373,11735.812259435654
9,1135.0,1224.9166666666667,22.848990981854953,14.80006248047486,11985.606758594513
10,1134.0,1213.7916666666667,25.834374978999502,13.757419556388637,11819.901069402695
11,1153.0,1211.75,21.317539726713306,13.566073102155576,11952.417032718658
12,1133.0,1217.2916666666667,27.013081964526414,14.085442049359582,11804.28886771202
13,1139.0,1216.125,27.647050023465432,13.97610121836926,11689.936393260956
14,1136.0,1222.0,24.919871588754223,14.526710402999063,11851.026976108551
15,1149.0,1226.8333333333333,21.31639952920964,14.97969384567322,11826.113205909729
