run,best_cost,avg_cost,std_dev,avg_exc,time
1,545.0,596.375,19.584884690325172,14.467370441458732,1507.4433507919312
2,542.0,596.0833333333334,17.349151436181412,14.411388355726176,1504.9608657360077
3,537.0,598.7083333333334,19.171330954202308,14.915227127319264,1499.5211946964264
4,553.0,596.4583333333334,19.27645188363829,14.483365323096617,1481.6597273349762
5,543.0,595.6666666666666,16.974654308376618,14.331413947536781,1476.9405076503754
6,540.0,598.9166666666666,18.685816070544583,14.955214331413941,1492.8946573734283
7,547.0,600.9166666666666,17.01694417011729,15.33909149072296,1513.8481316566467
8,542.0,603.0833333333334,18.336931465094032,15.75495841330775,1486.3154714107513
9,539.0,597.5,16.44435060033283,14.683301343570058,1508.9136352539062
10,544.0,600.625,15.24197193060443,15.283109404990402,1525.8457326889038
11,533.0,601.1666666666666,17.76388345929897,15.38707613563659,1505.982357263565
12,553.0,601.2916666666666,17.539192224526445,15.411068458093402,1507.8049566745758
13,541.0,601.2916666666666,17.111105474385795,15.411068458093402,1481.6578950881958
14,531.0,602.6666666666666,17.55625877635159,15.674984005118356,1512.4308383464813
15,545.0,596.3333333333334,19.620709014258946,14.459373000639802,1521.9492955207825
