run,best_cost,avg_cost,std_dev,avg_exc,time
1,539.0,593.25,17.645230705963204,13.867562380038386,1446.0216007232666
2,540.0,582.0833333333334,14.958043172673207,11.724248240563027,1438.238552570343
3,543.0,591.7916666666666,16.245458767161843,13.587651951375554,1461.1564235687256
4,537.0,591.3333333333334,17.07011683875916,13.49968010236725,1442.8385605812073
5,539.0,588.0,14.902460646931209,12.859884836852206,1447.1299273967743
6,532.0,590.6666666666666,16.20613738337698,13.371721049264229,1462.841641664505
7,541.0,584.7916666666666,16.332429821948995,12.244081893793979,1449.9800074100494
8,533.0,593.7916666666666,15.550935573856071,13.971529110684575,1442.4588503837585
9,535.0,594.0,16.41137816678823,14.011516314779271,1448.204380273819
10,538.0,592.875,13.905372163304367,13.795585412667947,1457.3471977710724
11,537.0,594.25,16.292252760131117,14.059500959692897,1461.1504669189453
12,533.0,585.9166666666666,15.766305492691966,12.460012795905303,1443.564418554306
13,542.0,597.75,16.626409714667805,14.731285988483686,1453.573860168457
14,538.0,590.5,16.502525059315417,13.339731285988485,1447.898640871048
15,539.0,596.2916666666666,17.436740823776546,14.45137555982085,1479.8708119392395
