run,best_cost,avg_cost,std_dev,avg_exc,time
1,377.0,409.0833333333333,16.854565817276008,9.088888888888883,104.83736991882324
2,377.0,416.0833333333333,14.10648983821119,10.95555555555555,103.30531597137451
3,377.0,417.8333333333333,13.262310842718508,11.422222222222217,104.69268894195557
4,377.0,417.2083333333333,16.938563414751428,11.255555555555551,104.21629881858826
5,377.0,418.7083333333333,13.470582660828827,11.655555555555551,104.8311140537262
6,377.0,417.375,17.94160086688662,11.3,105.53838920593262
7,377.0,420.0,17.03917055884274,12.0,103.79654884338379
8,377.0,411.4166666666667,13.130488270518436,9.711111111111116,103.86515784263611
9,377.0,419.5416666666667,18.140606308010277,11.877777777777784,103.00869846343994
10,377.0,423.125,18.659922516809477,12.833333333333332,105.33224487304688
11,377.0,416.3333333333333,17.530132787733113,11.022222222222217,105.16547417640686
12,377.0,413.75,14.672110732043066,10.333333333333334,105.51983571052551
13,377.0,416.7083333333333,18.281318257232495,11.122222222222216,105.21447920799255
14,377.0,412.9166666666667,13.092353578414471,10.111111111111116,104.94963121414185
15,377.0,413.1666666666667,15.054530510410775,10.177777777777782,105.594642162323
