instance,operator,mut,best,avg,std,avg_exc,time
E-n22-k4,AEX,mut,377.0,411.88055555555553,16.027867183079156,9.834814814814816,101.57726095517476
E-n22-k4,AEX,nomut,377.0,398.56944444444446,4.750972581940648,6.2851851851851865,50.860237963994344
E-n22-k4,BRKGA,mut,441.0,505.6166666666667,9.41880053569135,34.83111111111111,1.1946180979410808
E-n22-k4,BRKGA,nomut,501.0,558.4,0.0,48.906666666666666,1.2416888395945231
E-n22-k4,CX,mut,377.0,410.5388888888889,15.408107694574099,9.477037037037036,87.82432475090027
E-n22-k4,CX,nomut,377.0,378.6666666666667,0.0,0.9777777777777779,46.41705241203308
E-n22-k4,LNN,mut,377.0,421.1,15.695986289195504,12.293333333333333,151.46563754081726
E-n22-k4,LNN,nomut,377.0,421.7138888888889,16.24937086846501,12.45703703703704,148.95558616320292
E-n22-k4,OX,mut,377.0,417.2388888888889,16.775533734007087,11.263703703703703,106.30315092404683
E-n22-k4,OX,nomut,377.0,416.21666666666664,15.87831646404583,10.99111111111111,104.6578592936198
E-n22-k4,RK-2PX,mut,437.0,508.55,8.748532308618044,35.61333333333334,1.250559933980306
E-n22-k4,RK-2PX,nomut,507.0,574.2666666666667,0.0,53.13777777777778,1.284567658106486
